,"O-PTIR 1/O-PTIR","O-PTIR 2/O-PTIR","O-PTIR 3/O-PTIR","O-PTIR 4/O-PTIR","O-PTIR 5/O-PTIR","O-PTIR 6/O-PTIR","O-PTIR 7/O-PTIR","O-PTIR 8/O-PTIR","O-PTIR 9/O-PTIR","O-PTIR 10/O-PTIR","O-PTIR 11/O-PTIR","O-PTIR 12/O-PTIR"
1387,1.44971263408661,2.2261426448822,0.871286928653717,0.648850619792938,1.90032815933228,1.42092192173004,2.67612361907959,3.06046509742737,1.72920441627502,1.81111431121826,0.915538907051086,0.837828457355499
1389,1.45837092399597,2.22797751426697,0.868901908397675,0.656775414943695,1.90316903591156,1.40975189208984,2.65763664245605,3.03553104400635,1.72574007511139,1.807009100914,0.874261260032654,0.823366522789001
1391,1.44064223766327,2.20950746536255,0.864952325820923,0.642960011959076,1.88169252872467,1.39876699447632,2.62156844139099,3.00909829139709,1.71957623958588,1.78284168243408,0.843377768993378,0.80018812417984
1393,1.42139387130737,2.18435406684875,0.871765494346619,0.629032671451569,1.85353112220764,1.38668835163116,2.5818293094635,2.98765707015991,1.7034432888031,1.74493980407715,0.828289926052094,0.778870582580566
1395,1.40406143665314,2.15725231170654,0.863500595092773,0.613987803459167,1.83135914802551,1.36687207221985,2.54295635223389,2.96595573425293,1.68104231357574,1.71253275871277,0.805330157279968,0.770203769207001
1397,1.39234948158264,2.13520407676697,0.849358320236206,0.626537382602692,1.80934262275696,1.33863115310669,2.50280165672302,2.94858694076538,1.65303361415863,1.69556403160095,0.788960158824921,0.784518957138062
1399,1.37507104873657,2.10330319404602,0.836656928062439,0.645720660686493,1.78276777267456,1.30873906612396,2.46177434921265,2.92756056785583,1.61904692649841,1.68435943126678,0.788212954998016,0.816097855567932
1401,1.35359609127045,2.06403112411499,0.805991232395172,0.633521795272827,1.766446352005,1.27675843238831,2.41352510452271,2.89326858520508,1.58706390857697,1.66113317012787,0.79688423871994,0.845081150531769
1403,1.34493863582611,2.0493221282959,0.775017321109772,0.611638724803925,1.75975632667542,1.25123071670532,2.37304949760437,2.84899210929871,1.56766390800476,1.6194885969162,0.806895077228546,0.857592880725861
1405,1.33256018161774,2.04197812080383,0.766880750656128,0.600693702697754,1.74150943756104,1.23552322387695,2.35810899734497,2.81222748756409,1.56659293174744,1.59191226959229,0.805107057094574,0.849328756332397
1407,1.31242775917053,2.02844095230103,0.768068552017212,0.595055043697357,1.71042716503143,1.21820569038391,2.35591793060303,2.79093241691589,1.57066607475281,1.59955513477325,0.795630693435669,0.839299321174622
1409,1.28421425819397,2.00852966308594,0.759592592716217,0.585279941558838,1.68033909797668,1.19783425331116,2.33709836006165,2.77748107910156,1.56099736690521,1.61229109764099,0.780083417892456,0.824647724628448
1411,1.25382101535797,1.98649847507477,0.764904081821442,0.558847784996033,1.64145219326019,1.16556763648987,2.30152368545532,2.76575374603271,1.53453683853149,1.60184550285339,0.759832441806793,0.81094628572464
1413,1.22208869457245,1.95610189437866,0.765120446681976,0.528233110904694,1.61285078525543,1.12540125846863,2.25252628326416,2.73705792427063,1.49913680553436,1.57171499729156,0.73941957950592,0.789985120296478
1415,1.17599594593048,1.89404249191284,0.734309673309326,0.490015685558319,1.60232424736023,1.08098995685577,2.20281386375427,2.6867823600769,1.46061956882477,1.53873252868652,0.715166389942169,0.742592036724091
