,"O-PTIR 1/O-PTIR","O-PTIR 2/O-PTIR","O-PTIR 3/O-PTIR","O-PTIR 4/O-PTIR","O-PTIR 5/O-PTIR","O-PTIR 6/O-PTIR","O-PTIR 7/O-PTIR","O-PTIR 8/O-PTIR","O-PTIR 9/O-PTIR","O-PTIR 10/O-PTIR","O-PTIR 11/O-PTIR","O-PTIR 12/O-PTIR","O-PTIR 13/O-PTIR","O-PTIR 14/O-PTIR","O-PTIR 15/O-PTIR","O-PTIR 16/O-PTIR"
1021,-0.0197444800287485,0.500851273536682,0.274050354957581,0.703583121299744,0.806552708148956,2.38597226142883,3.20479440689087,4.74520778656006,1.36282765865326,0.0236778371036053,1.13221633434296,3.68141794204712,0.664458930492401,1.86895835399628,1.11361682415009,0.780564069747925
1023,-0.0129181863740087,0.520685076713562,0.303104311227798,0.721133232116699,0.843222737312317,2.42763161659241,3.26230788230896,4.88524580001831,1.37237107753754,0.0438247807323933,1.15116703510284,3.75936317443848,0.704543113708496,1.90014004707336,1.14464282989502,0.800660789012909
1025,-0.010513948276639,0.539395272731781,0.333561927080154,0.749410271644592,0.864997386932373,2.48007607460022,3.32233834266663,5.00592565536499,1.38255620002747,0.042572844773531,1.15996265411377,3.83607125282288,0.748003602027893,1.94366359710693,1.16912436485291,0.811301469802856
1027,-0.0230998210608959,0.534552931785583,0.348294228315353,0.79216992855072,0.882176697254181,2.55352187156677,3.36619758605957,5.109130859375,1.40815055370331,0.0423744656145573,1.18175721168518,3.91440510749817,0.786568999290466,1.99006152153015,1.19512128829956,0.832891285419464
1029,-0.051668930798769,0.530678749084473,0.368920385837555,0.832542777061462,0.91290819644928,2.65930485725403,3.41857099533081,5.22378444671631,1.45891070365906,0.062763474881649,1.22775220870972,4.0012788772583,0.813602924346924,2.02768993377686,1.2147341966629,0.857299447059631
1031,-0.0591375678777695,0.537838935852051,0.393463969230652,0.88094162940979,0.945977687835693,2.77536940574646,3.44321703910828,5.33075094223022,1.51135957241058,0.0791136622428894,1.2706458568573,4.06865119934082,0.848340630531311,2.06584501266479,1.23099589347839,0.871743679046631
1033,-0.0396980047225952,0.543742060661316,0.411872267723083,0.916621625423431,0.978555381298065,2.84424304962158,3.45479202270508,5.42338180541992,1.55524933338165,0.0832535549998283,1.29855966567993,4.13562059402466,0.910618126392365,2.12538242340088,1.26730644702911,0.894586503505707
1035,-0.0199359469115734,0.548937976360321,0.43947559595108,0.930929481983185,1.0081285238266,2.89426803588867,3.48269510269165,5.55733442306519,1.58259475231171,0.0952244400978088,1.3070319890976,4.18477535247803,0.970316648483276,2.18160772323608,1.32241117954254,0.923267543315887
1037,-0.0202500279992819,0.544774532318115,0.46672847867012,0.94749528169632,1.03628039360046,2.97884321212769,3.52462792396545,5.74974012374878,1.5997326374054,0.111822359263897,1.33467078208923,4.22806072235107,1.01914858818054,2.21662926673889,1.36216270923615,0.957159340381622
1039,-0.0278214644640684,0.535566449165344,0.479506403207779,0.987777769565582,1.06061685085297,3.09079885482788,3.57773923873901,5.96390724182129,1.60272192955017,0.116594776511192,1.35978078842163,4.27646636962891,1.05266463756561,2.24302363395691,1.39996385574341,0.991167366504669
1041,-0.0366368405520916,0.545021831989288,0.465263426303864,1.02756702899933,1.07084488868713,3.17997193336487,3.61047339439392,6.14180088043213,1.6058657169342,0.10926429182291,1.36911010742188,4.33855390548706,1.09393978118896,2.28418493270874,1.42232775688171,1.0238596200943
1043,-0.0458261296153069,0.560227155685425,0.436603754758835,1.03917706012726,1.08647394180298,3.24840998649597,3.6172342300415,6.26576662063599,1.6262401342392,0.105711258947849,1.36455225944519,4.42196655273438,1.13505518436432,2.33496689796448,1.45289540290833,1.04884719848633
1045,-0.0402101837098598,0.573244452476501,0.425999283790588,1.05497908592224,1.11978077888489,3.3345959186554,3.6209409236908,6.3545126914978,1.6490238904953,0.108873911201954,1.35063672065735,4.51213932037354,1.15031147003174,2.35509181022644,1.49991011619568,1.0744993686676
1047,-0.0308166034519672,0.590004742145538,0.446565210819244,1.09187757968903,1.14798843860626,3.42674016952515,3.62850260734558,6.44251346588135,1.66140782833099,0.117210291326046,1.34434771537781,4.58708953857422,1.14258778095245,2.35982823371887,1.53152716159821,1.09064304828644
1049,-0.0284624490886927,0.595059871673584,0.478583574295044,1.12952840328217,1.18089842796326,3.49260020256042,3.64551043510437,6.52945423126221,1.66138637065887,0.126213848590851,1.36120676994324,4.65923547744751,1.14361572265625,2.38965773582458,1.54612791538239,1.09687674045563
1051,-0.0286537855863571,0.602744162082672,0.505672991275787,1.15898764133453,1.22265338897705,3.52149248123169,3.66877675056458,6.5985107421875,1.68159091472626,0.141888096928596,1.36494410037994,4.71409273147583,1.1534423828125,2.43411469459534,1.57002854347229,1.0972843170166
1053,-0.0261494889855385,0.618956625461578,0.52152818441391,1.1797890663147,1.24963700771332,3.56116676330566,3.69128727912903,6.67496013641357,1.70735156536102,0.168848037719727,1.36299979686737,4.77436208724976,1.17395257949829,2.43852066993713,1.5924232006073,1.10618448257446
1055,-0.0396896451711655,0.631999015808105,0.532884836196899,1.19982755184174,1.25061678886414,3.63529706001282,3.71310544013977,6.76843070983887,1.71213674545288,0.177250400185585,1.39131987094879,4.85391283035278,1.21438276767731,2.44632005691528,1.59872150421143,1.12703466415405
